artist,degree,weighted_degree,total_certifs,max_cert_level,avg_cert_level,collab_rate,annee_median,singles_rate,log_listeners,log_playcount,n_tags,has_lastfm,genre_rap_hiphop,genre_pop,genre_rock,genre_electronic,genre_rnb_soul,genre_chanson_fr,genre_metal,genre_jazz,genre_reggae_latin,genre_classical
MRC,4,2.286695,2.0,0.0,0.0,0.0,2016.0,0.5,9.103756886573398,11.477422631927574,1,1,1,0,0,0,0,0,0,0,0,0
BLACK M,23,18.941740000000003,5.0,5.0,1.0,0.2,2016.0,0.8,11.726244917463672,14.233151242002572,5,1,1,0,0,0,0,0,0,0,0,0
COLONEL REYEL,14,7.805037999999999,0.0,0.0,0.0,0.0,2015.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
GAULOIS,7,3.854144,0.0,0.0,0.0,0.0,2015.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
KAZA,27,21.437293999999998,8.0,5.0,0.875,0.0,2020.0,0.75,10.523956507598088,13.925546327570483,5,1,1,0,0,0,0,0,0,0,0,0
MAC TYER,21,12.234658999999999,0.0,0.0,0.0,0.0,2015.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
RIDSA,25,23.189838000000005,13.0,2.0,0.6153846153846154,0.07692307692307693,2017.0,0.7692307692307693,10.771595935483736,13.32488617484806,5,1,0,0,0,0,0,0,0,0,0,0
BOSH,4,2.616457,3.0,5.0,4.0,0.0,2020.0,1.0,10.735178542544132,13.491731422015317,3,1,1,0,0,0,0,0,0,0,0,0
JEY BROWNIE,4,3.21166,0.0,0.0,0.0,0.0,2015.0,0.0,10.177476297855906,12.971461414776124,5,1,1,0,0,0,1,0,0,0,1,0
VEGEDREAM,16,11.826858,12.0,5.0,1.25,0.3333333333333333,2018.0,0.9166666666666666,12.377324828909655,14.94718392298539,4,1,1,0,0,0,1,0,0,0,0,0
LE CLUB,6,5.465657,2.0,0.0,0.0,0.0,2017.0,1.0,9.684584995479172,12.098181151870214,5,1,0,0,1,0,1,0,0,0,0,0
DJ LESKA,26,18.889702000000003,2.0,2.0,1.0,1.0,2020.0,1.0,10.194140208432742,12.249697109462101,1,1,0,0,0,0,0,0,0,0,0,0
BRULUX,28,21.619677,2.0,5.0,2.5,0.0,2017.0,1.0,9.827254246536539,12.69217413120887,0,1,0,0,0,0,0,0,0,0,0,0
SADEK,32,29.448321000000004,10.0,5.0,1.2,0.4,2017.0,0.9,10.474495347310453,13.924816878684243,5,1,1,0,0,0,0,0,0,0,0,0
HAYCE LEMSI,31,24.780192,3.0,0.0,0.0,0.3333333333333333,2017.0,0.6666666666666666,9.852562611350837,13.040532739001465,5,1,1,0,0,0,0,0,0,0,0,0
NIAKS,25,20.279954,6.0,2.0,0.3333333333333333,0.0,2022.5,0.6666666666666666,9.923927231773584,13.55564207643791,0,1,0,0,0,0,0,0,0,0,0,0
ZKR,28,24.964802,9.0,5.0,1.2222222222222223,0.1111111111111111,2021.0,0.7777777777777778,10.402776888483789,14.094208392744552,1,1,1,0,0,0,0,0,0,0,0,0
CABALLERO,17,12.474035,0.0,0.0,0.0,0.0,2015.0,0.0,10.419629022124354,13.945360055725093,5,1,1,0,0,1,0,0,0,0,0,0
LIMSA D'AULNAY,12,8.745311,0.0,0.0,0.0,0.0,2015.0,0.0,9.475700145423472,13.28502289701885,5,1,1,0,0,0,0,0,0,0,0,0
JUNGELI,10,8.091016000000002,0.0,0.0,0.0,0.0,2015.0,0.0,10.95399444252939,13.386526023813198,1,1,0,0,0,0,0,0,0,0,0,0
SO LA LUNE,24,17.260358999999998,1.0,2.0,2.0,0.0,2021.0,1.0,10.229295989560153,15.71096390478017,1,1,0,0,0,0,0,0,0,0,0,0
CHILLA,20,10.542686,1.0,0.0,0.0,0.0,2022.0,1.0,10.322789817432314,13.231814913415185,5,1,1,0,0,0,1,0,0,0,0,0
MISTER V,29,23.203026,7.0,2.0,1.4285714285714286,0.5714285714285714,2017.0,0.8571428571428571,10.803201648005482,14.38696682705797,5,1,1,0,0,0,0,0,0,0,0,0
JEWEL USAIN,10,4.855562,0.0,0.0,0.0,0.0,2015.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
HATIK,34,27.419738000000002,6.0,5.0,2.5,0.0,2019.5,0.6666666666666666,10.749291440359002,13.74884818304511,5,1,1,0,0,0,0,0,0,0,0,0
CHILY,22,15.162263,2.0,0.0,0.0,0.5,2020.0,0.5,10.194401895568575,12.85508505872554,1,1,0,0,0,0,0,0,0,0,0,0
NONO LA GRINTA,32,25.512027000000003,4.0,5.0,1.75,0.25,2025.0,0.75,10.803181313502913,14.094933114329626,0,1,0,0,0,0,0,0,0,0,0,0
KULTURR,18,11.739588999999999,1.0,0.0,0.0,1.0,2025.0,1.0,9.595058406939557,12.161033437719894,0,1,0,0,0,0,0,0,0,0,0,0
RNBOI,18,11.558043000000003,0.0,0.0,0.0,0.0,2015.0,0.0,10.87676334989294,13.929232023265971,5,1,1,0,0,0,1,0,0,0,0,0
KEEN'V,18,17.172667,9.0,2.0,1.1111111111111112,0.0,2017.0,0.4444444444444444,9.756031083068253,12.297493453341799,5,1,0,1,0,1,0,1,0,0,0,0
CORNEILLE,17,11.878297,1.0,5.0,5.0,1.0,2024.0,1.0,11.325088727488163,13.749554499261563,5,1,0,0,0,0,1,1,0,0,0,0
