source,target,weight,type
BOOBA,GIANNI,0.632114,similar
BOOBA,GLK,0.451895,similar
BOOBA,GUIZMO,1.0,similar
BOOBA,HATIK,0.691627,similar
BOOBA,HAYCE LEMSI,0.867479,similar
BOOBA,HUGO TSR,0.400463,similar
BOOBA,IKAZ BOI,0.547187,similar
BOOBA,JOK'AIR,0.486632,similar
BOOBA,KALASH,0.419617,similar
BOOBA,KAZA,0.632672,similar
BOOBA,KERY JAMES,0.735653,similar
BOOBA,KOFS,0.511972,similar
BOOBA,KPOINT,0.471877,similar
BOOBA,LANDY,0.555501,similar
BOOBA,MADEINPARIS,0.422268,similar
BOOBA,MAFIA K'1 FRY,0.560593,similar
BOOBA,MISTER YOU,0.646385,similar
BOOBA,MMZ,0.535988,similar
BOOBA,MOHA LA SQUALE,0.522315,similar
BOOBA,OBOY,0.620976,similar
BOOBA,OXMO PUCCINO,0.57982,similar
BOOBA,PSY 4 DE LA RIME,0.412236,similar
BOOBA,S.PRI NOIR,0.664179,similar
BOOBA,SADEK,0.874139,similar
BOOBA,SIBOY,1.0,similar
BOOBA,SOSO MANESS,0.407155,similar
BOOBA,STILL FRESH,0.600326,similar
BOOBA,VALD,0.683972,similar
BOOBA,YOUSSOUPHA,0.698837,similar
BOOBA,ZOLA,0.613179,similar
GAZO,TIAKOLA,7.929429,collab+similar
GAZO,13 BLOCK,0.527712,similar
GAZO,1PLIKE140,1.3239649999999998,similar
GAZO,4KEUS,0.500601,similar
GAZO,A2H,0.492772,similar
GAZO,ALONZO,1.2690510000000002,similar
GAZO,AMK,0.783818,similar
GAZO,BEENDO Z,0.609622,similar
GAZO,BEKAR,0.478344,similar
GAZO,BOLEMVN,1.38974,similar
GAZO,BOUSS,1.216717,similar
GAZO,BRAMSITO,0.702573,similar
GAZO,DADJU,0.563431,similar
GAZO,DJ KAWEST,0.629734,similar
GAZO,DJ LESKA,0.611558,similar
GAZO,FAVE,1.654814,similar
GAZO,FRANGLISH,0.528393,similar
GAZO,FREEZE CORLEONE,1.2335850000000002,similar
GAZO,FRESH LADOUILLE,0.448352,similar
GAZO,NISKA,1.655307,similar
GAZO,KOBA LAD,1.607856,similar
GAZO,PLK,1.702566,similar
GAZO,KERCHAK,1.5780310000000002,similar
GAZO,HEUSS L'ENFOIRE,1.6609159999999998,similar
GAZO,MAES,1.3592650000000002,similar
GAZO,KEBLACK,1.3169840000000002,similar
GAZO,HAMZA,1.253368,similar
GAZO,KAARIS,1.153988,similar
GAZO,SCH,1.2288109999999999,similar
GAZO,LACRIM,1.217502,similar
GAZO,GRADUR,1.209836,similar
GAZO,JUL,0.9766870000000001,similar
GAZO,KALASH CRIMINEL,1.006821,similar
GAZO,JOSMAN,0.446517,similar
GAZO,LANDY,0.445792,similar
GAZO,GENEZIO,0.99065,similar
GAZO,GHOST KILLER TRACK,0.463705,similar
GAZO,GIMS,0.567068,similar
GAZO,GLK,0.632089,similar
GAZO,GP EXPLORER,0.66472,similar
GAZO,GUY2BEZBAR,1.249912,similar
GAZO,H.E.M,0.635203,similar
GAZO,HATIK,0.896594,similar
GAZO,IKAZ BOI,0.518316,similar
GAZO,JKSN,0.696792,similar
GAZO,JOK'AIR,0.699328,similar
GAZO,JOE DWET FILE,0.479173,similar
GAZO,JYEUHAIR,0.565696,similar
GAZO,KOFS,0.436042,similar
GAZO,KPOINT,0.619035,similar
GAZO,LA FOUINE,0.665412,similar
GAZO,LA MANO 1.9,0.820285,similar
GAZO,LA RVFLEUZE,0.47985,similar
GAZO,LARTISTE,0.585161,similar
GAZO,LOGOBI GT,0.420165,similar
GAZO,LUV RESVAL,0.605446,similar
GAZO,MAITRE GIMS,0.703622,similar
GAZO,MENACE SANTANA,0.511854,similar
GAZO,MHD,0.77037,similar
GAZO,MISTER V,0.789711,similar
