Interprete;Titre;Editeur / Distributeur;Categorie;Certification;Date de sortie;Date de constat;Duree obtention
PHIL COLLINS;HITS;WEA INTERNATIONAL/WARNER MUSIC France;Albums;Double Platine;22/09/1998;26/11/2002;4 ans 2 mois
BENOIT;TOURNE TOI BENOIT;MASCOTTE/WARNER MUSIC France;Singles;Or;08/04/2002;26/11/2002;7 mois
QUEEN;GREATEST HITS 1;PARLOPHONE/EMI MUSIC France;Vidéos;Or;06/10/2002;26/11/2002;1 mois
PATRICK FIORI;PATRICK FIORI;EPIC/SONY MUSIC;Albums;Or;17/10/2002;05/11/2002;
YANNICK NOAH;LIVE;COLUMBIA/SONY MUSIC;Albums;Or;26/09/2002;05/11/2002;1 mois
BILLY CRAWFORD;YOU DIDN'T EXPECT THAT;V2 MUSIC/SONY MUSIC;Singles;Or;03/10/2002;05/11/2002;1 mois
CELINE DION;I'M ALIVE;COLUMBIA/SONY MUSIC;Singles;Or;12/09/2002;05/11/2002;1 mois
ISABELLE BOULAY;MIEUX QU'ICI BAS;V 2 MUSIC/SONY MUSIC;Albums;Diamant;13/06/2001;05/11/2002;1 an 5 mois
KING AFRICA;LA BOMBA;SCORPIO HOT TRACKS/SONY MUSIC;Singles;Or;04/07/2002;05/11/2002;4 mois
LAS KETCHUP;The KETCHUP SONG (ASEREJE);COLUMBIA/SONY MUSIC;Singles;Or;05/09/2002;05/11/2002;2 mois
LORIE;J'AI BESOIN D'AMOUR;EPIC/SONY MUSIC;Singles;Or;26/09/2002;05/11/2002;1 mois
NATASHA ST PIER;A CHACUN SON HISTOIRE;COLUMBIA/SONY MUSIC;Albums;Or;29/03/2001;05/11/2002;1 an 7 mois
SHAKIRA;UNDERNEATH YOUR CLOTHES;EPIC/SONY MUSIC;Singles;Or;29/08/2002;05/11/2002;2 mois
TINA ARENA;TU ES TOUJOURS LA;COLUMBIA/SONY MUSIC;Singles;Or;21/02/2002;05/11/2002;8 mois
DANY BRILLANT;DOLCE VITA;COLUMBIA/SONY MUSIC;Albums;Platine;04/10/2001;05/11/2002;1 an 1 mois
COMPILATION;HITS 2002;SONY MUSIC MEDIA/SONY MUSIC;Albums;Or;30/10/2002;05/11/2002;
COMPILATION;NON STOP HITS 4;SONY MUSIC MEDIA/SONY MUSIC;Albums;Or;01/08/2002;05/11/2002;3 mois
COMPILATION;GIRLS 2002;SONY MUSIC MEDIA/SONY MUSIC;Albums;Or;20/06/2002;05/11/2002;4 mois
COMPILATION;QUELQUES MOTS D'AMOUR;SONY MUSIC MEDIA/SONY MUSIC;Albums;Or;27/06/2002;05/11/2002;4 mois
COMPILATION;RAGGA CONNECTION 2;SONY MUSIC MEDIA/SONY MUSIC;Albums;Or;25/07/2002;05/11/2002;3 mois
JOE DASSIN;SES PLUS GRANDS SUCCES;SONY MUSIC MEDIA/SONY MUSIC;Albums;Platine;06/04/2000;05/11/2002;2 ans 7 mois
MULTI INTERPRETES;PLANETARTHUR;SONY MUSIC MEDIA/SONY MUSIC;Albums;Or;17/10/2002;05/11/2002;
BARBRA STREISAND;THE ESSENTIAL;SONY MUSIC MEDIA/SONY MUSIC;Albums;Or;16/05/2002;05/11/2002;5 mois
BILLY PAUL AND BILL WITHERS;LES ROIS DE LA SOUL;SONY MUSIC MEDIA/SONY MUSIC;Albums;Or;01/08/2002;05/11/2002;3 mois
DAVID BOWIE;HEATHEN;COLUMBIA/SONY MUSIC;Albums;Or;06/06/2002;05/11/2002;5 mois
NATASHA ST PIER;DE L'AMOUR LE MIEUX;COLUMBIA/SONY MUSIC;Albums;Platine;28/03/2002;05/11/2002;7 mois
F F F;F F F;EPIC/SONY MUSIC;Albums;Or;02/04/1996;05/11/2002;6 ans 8 mois
SAT;DANS MON MONDE;SMALL/SONY MUSIC;Albums;Or;18/04/2002;05/11/2002;6 mois
