Interprete;Titre;Editeur / Distributeur;Categorie;Certification;Date de sortie;Date de constat;Duree obtention
TIMBALAND;SHOCK VALUE;INTERSCOPE/UNIVERSAL MUSIC France;Albums;Or;01/04/2007;28/11/2007;8 mois
COMPILATION;STARFLOOR 6;ULM/AIRPLAY/UNIVERSAL MUSIC France;Albums;Or;27/05/2007;21/11/2007;5 mois
ORA MATE;KAMATE;ULM/UNIVERSAL MUSIC France;Singles;Or;02/09/2007;21/11/2007;2 mois
MARTIN SOLVEIG;SO FAR;ULM/UNIVERSAL MUSIC France;Albums;Or;14/02/2007;21/11/2007;9 mois
COMPILATION;TECKTONIK VOL. 3;EMI MUSIC France;Albums;Or;28/06/2007;14/11/2007;4 mois
RIHANNA;GOOD GIRL GONE BAD;DEF JAM / BARCLAY/UNIVERSAL MUSIC France;Albums;Or;10/06/2007;29/10/2007;4 mois
CHRISTOPHE WILLEM;Double JE;VOGUE/SONY BMG;Singles;Platine;27/05/2007;24/10/2007;5 mois
DANY BRILLANT;HISTOIRE D'UN AMOUR;COLUMBIA/SONY BMG;Albums;Platine;29/04/2007;24/10/2007;5 mois
FRANCIS CABREL;L'ESSENTIEL / 1977-2007;COLUMBIA/SONY BMG;Albums;Platine;03/06/2007;24/10/2007;4 mois
PINK;LIVE FROM WEMBLEY ARENA LONDON;RCA/SONY BMG;Vidéos;Or;15/04/2007;24/10/2007;6 mois
COMPILATION;PLANETE RAP 2007 VOLUME 3;STRATEGIC MARKETING GROUP/SONY BMG;Albums;Or;22/07/2007;24/10/2007;3 mois
JOHNNY HALLYDAY;LIVE A LA CIGALE;WARNER/WARNER MUSIC France;Vidéos;Platine;10/06/2007;18/07/2007;1 mois
KENZA FARAH;AUTHENTIK;UP MUSIC/WARNER MUSIC France;Albums;Or;10/06/2007;18/07/2007;1 mois
LINKIN PARK;MINUTES TO MIDNIGHT;WEA/WARNER MUSIC France;Albums;Or;13/05/2007;18/07/2007;2 mois
MC SOLAAR;CHAPITRE 7;UP MUSIC/WARNER MUSIC France;Albums;Or;17/06/2007;18/07/2007;1 mois
MICHAEL BUBLE;CALL ME IRRESPONSIBLE;WEA/WARNER MUSIC France;Albums;Or;29/04/2007;18/07/2007;2 mois
DALIDA;DALIDA - UNE VIE;ORLANDO/BARCLAY/UNIVERSAL MUSIC FRANCE;Vidéos;Platine;29/04/2007;04/07/2007;2 mois
DALIDA;LES 101 PLUS BELLES CHANSONS;ORLANDO/BARCLAY/UNIVERSAL MUSIC France;Albums;Or;29/04/2007;04/07/2007;2 mois
KAMINI;PSYCHOSTAR WORLD;RCA/SONY BMG;Albums;Or;27/05/2007;01/07/2007;1 mois
CELINE DION;D'ELLES;COLUMBIA/SONY BMG;Albums;Platine;20/05/2007;20/06/2007;1 mois
CLAUDE FRANCOIS;ET CLAUDE FRANCOIS CREA PODIUM;France TELEVISION/SONY BMG;Vidéos;Or;27/05/2007;20/06/2007;
COMPILATION;PLANETE RAP 2007;STRATEGIC MARKETING GROUP/SONY BMG;Albums;Or;10/12/2006;20/06/2007;6 mois
CASCADA;MIRACLE;M6 INTERACTIONS/SONY BMG;Singles;Or;11/03/2007;20/06/2007;3 mois
CHRISTINA AGUILERA;HURT;RCA/SONY BMG;Singles;Or;07/01/2007;20/06/2007;5 mois
FAF LARAGE;TA MEUF;M6 INTERACTIONS/SONY BMG;Singles;Or;18/02/2007;20/06/2007;4 mois
SEBASTO;FAIS LA POULE;STRATEGIC MARKETING GROUP/SONY BMG;Singles;Or;28/01/2007;20/06/2007;4 mois
YANNICK NOAH;AUX ARBRES CITOYENS;COLUMBIA/ST GEORGE/SONY BMG;Singles;Or;11/02/2007;20/06/2007;4 mois
AMEL BENT;A 20 ANS;JIVEPIC/SONY BMG;Albums;Or;17/06/2007;20/06/2007;
AVRIL LAVIGNE;THE BEST DAMN THING;ARISTA INTERNATIONAL/SONY BMG;Albums;Or;15/04/2007;20/06/2007;2 mois
BEYONCE;B'DAY;COLUMBIA/SONY BMG;Albums;Or;03/09/2006;20/06/2007;9 mois
INDOCHINE;HANOI;JIVEPIC/SONY BMG;Albums;Or;18/02/2007;20/06/2007;4 mois
AKON;KONVICTED;MOTOWN/UNIVERSAL MUSIC France;Albums;Or;19/11/2006;06/06/2007;6 mois
SNOOP DOG;THA BLUE CARPET TREATMENT;GEFFEN RECORDS/UNIVERSAL MUSIC France;Albums;Or;19/11/2006;06/06/2007;6 mois
TOKIO HOTEL;ZIMMER 483;UNIVERSAL MUSIC GERMANY/UNIVERSAL MUSIC France;Albums;Or;25/02/2007;23/05/2007;2 mois
DIONYSOS;MONSTERS IN LIVE;BARCLAY/UNIVERSAL MUSIC FRANCE;Vidéos;Or;07/01/2007;23/05/2007;4 mois
I A M;SAISON 5;POLYDOR/UNIVERSAL MUSIC France;Albums;Or;01/04/2007;23/05/2007;1 mois
OLIVIA RUIZ;J'AIME PAS L'AMOUR;POLYDOR/UNIVERSAL MUSIC France;Albums;Or;22/12/2003;23/05/2007;3 ans 5 mois
FRANCOISE HARDY;PARENTHESES;Editions Kundalini/Virgin Music/EMI MUSIC France;Albums;Platine;23/11/2006;25/04/2007;5 mois
NORAH JONES;NOT TOO LATE;BLUE NOTE US CAPITOL/EMI MUSIC France;Albums;Platine;25/01/2007;25/04/2007;3 mois
RAPHAEL;RESISTANCE A LA NUIT;EMI MUSIC France;Albums;Platine;14/09/2006;25/04/2007;7 mois
M;JE DIS AIME;Universal Music Publishing/Delabel/EMI MUSIC France;Albums;Double Platine;24/10/1999;25/04/2007;7 ans 7 mois
COMPILATION;STARFLOOR - Vol.4;ULM/UNIVERSAL MUSIC France;Albums;Or;28/05/2006;14/02/2007;8 mois
COMPILATION;STARFLOOR - Vol.5;ULM/UNIVERSAL MUSIC France;Albums;Or;12/11/2006;14/02/2007;3 mois
COMPILATION;STARFLOOR ANTHOLOGY;ULM/UNIVERSAL MUSIC France;Albums;Or;01/01/2007;14/02/2007;1 mois
COMPILATION;FUN DANCE 2006;PANIC/UNIVERSAL MUSIC France;Albums;Or;09/07/2006;14/02/2007;7 mois
HOLLY DOLLY;DOLLY SONG;ON RECORDS/UNIVERSAL MUSIC France;Singles;Or;01/01/2007;14/02/2007;1 mois
CRAZY FROG;MORE CRAZY HITS;ULM/UNIVERSAL MUSIC France;Albums;Or;18/06/2006;14/02/2007;8 mois
CASCADA;EVERYTIME WE TOUCH;M 6 INTERACTIONS/SONY BMG;Singles;Platine;22/10/2006;24/01/2007;3 mois
SHAKIRA;ORAL FIXATION VOL. 2;EPIC/SONY BMG;Albums;Platine;01/05/2006;24/01/2007;8 mois
GEORGE MICHAEL;TWENTY FIVE;JIVEPIC/SONY BMG;Vidéos;Platine;12/11/2006;24/01/2007;2 mois
AGE TENDRE ET TETE DE BOIS;"AGE TENDRE ""la troun";STERNE/SONY BMG;Vidéos;Triple Platine;22/10/2006;24/01/2007;3 mois
SANDI THOM;SMILE?IT CONFUSES PEOPLE;RCA/SONY BMG;Albums;Or;22/10/2006;24/01/2007;3 mois
CHRISTINA AGUILERA;BACK TO BASICS;RCA/SONY BMG;Albums;Or;13/08/2006;24/01/2007;5 mois
TETE;LE SACRE DES LEMMINGS;JIVEPIC/SONY BMG;Albums;Or;08/10/1996;24/01/2007;10 ans 5 mois
THE STROKES;FIRST IMPRESSIONS OF EARTH;RCA/SONY BMG;Albums;Or;05/02/2006;24/01/2007;11 mois
WOLFGANG AMADEUS MOZART;L'INTEGRALE DE L'?UVRE;BRILLIANT CLASSICS/ABEILLE MUSIQUE;Albums;Platine;29/09/2005;17/01/2007;1 an 3 mois
ROBERTO ALAGNA;LIVE IN PARIS;DEUTSCHE GRAMMOPHON/UNIVERSAL MUSIC FRANCE;Vidéos;Or;27/02/2005;10/01/2007;1 an 10 mois
JOHNNY HALLYDAY;MA VERITE;UNIVERSAL MUSIC/MERCURY;Albums;Diamant;06/11/2005;23/12/2006;1 an 1 mois
THE BEATLES;LOVE;EMI MUSIC;Albums;Platine;20/11/2006;23/12/2006;1 mois
FRANK MICHAEL;LES COULEURS DE MA VIE;WARNER MUSIC FRANCE;Albums;Or;13/11/2006;23/12/2006;1 mois
GEORGES BRASSENS;LES 100 PLUS BELLES CHANSONS;UNIVERSAL;Albums;Or;17/10/2006;23/12/2006;2 mois
NOLWENN LEROY;HISTOIRES NATURELLES;MERCURY/UNIVERSAL MUSIC France;Albums;Platine;11/05/2005;23/12/2006;1 an 7 mois
AGE TENDRE ET TETE DE BOIS;LA TOURNEE DES IDOLES;MASQ/SONY BMG;Albums;Or;01/01/2006;23/12/2006;11 mois
ARTHUR H;ADIEU TRISTESSE;POLYDOR/UNIVERSAL MUSIC France;Albums;Or;08/12/2005;23/12/2006;1 an
BENABAR;REPRISE DES NEGOCIATIONS;SONY BMG/JIVEPIC;Albums;Diamant;23/10/2005;22/12/2006;1 an 2 mois
DIAM'S;JEUNE DEMOISELLE;EMI MUSIC France;Singles;Platine;;09/12/2006;37 ans 5 mois
RENAUD;VISAGE PALE ATTAQUER ZENITH;Ceci Cela/Emi Music France Label/Virgin  EMI MUSIC France;Vidéos;Or;;09/12/2006;37 ans 5 mois
DAVID GUETTA;GUETTA BLASTER;SQUARE RIVOLI Publishing/EMI MUSIC France;Albums;Platine;05/07/2004;09/12/2006;2 ans 5 mois
MASSIVE ATTACK;COLLECTED;ISLAND MUSIC/DELABEL/EMI MUSIC France;Albums;Or;;09/12/2006;37 ans 5 mois
BEN HARPER;BOTH SIDES OF THE GUN;VIRGIN RECORDS AMERICA/EMI MUSIC France;Albums;Platine;;09/12/2006;37 ans 5 mois
RENAUD;LA CHETRON SAUVAGE;Ceci Cela/Emi Music France Label/Virgin  EMI MUSIC France;Vidéos;Or;;09/12/2006;37 ans 5 mois
GOTAN PROJECT;LUNATICO;YA BASTA RECORDS/BARCLAY/UNIVERSAL MUSIC France;Albums;Or;03/10/2006;06/06/2006;3 mois
BOB SINCLAR;WESTERN DREAM;YELLOW PRODUCTIONS/BARCLAY   UNI/VERSAL MUSIC France;Albums;Or;03/10/2006;06/06/2006;3 mois
JACK JOHNSON AND FRIENDS;IN BETWEEN DREAMS;BRUSHFIRE RECORDS/BARCLAY      U/NIVERSAL MUSIC France;Albums;Or;;06/06/2006;36 ans 11 mois
K-MARO;HISTOIRES DE LUV;UP MUSIC/WARNER MUSIC France;Singles;Or;;03/06/2006;36 ans 11 mois
COMPILATION;2006;WEA/WARNER MUSIC France;Albums;Or;11/05/2005;03/06/2006;1 an
K-MARO;MILLION DOLLAR BOY;UP MUSIC/WARNER MUSIC France;Albums;Or;;03/06/2006;36 ans 11 mois
THE CORRS;HOME;WEA/WARNER MUSIC France;Albums;Platine;;03/06/2006;36 ans 11 mois
COMPILATION;L'ALBUM ROCK;WEA/WARNER MUSIC France;Albums;Or;;03/06/2006;36 ans 11 mois
CRAIG DAVID;THE STORY GOES;WEA/WARNER MUSIC France;Albums;Or;;03/06/2006;36 ans 11 mois
COMPILATION;NRJ SUMMER HITS ONLY;WEA/WARNER MUSIC France;Albums;Or;06/05/2005;03/06/2006;1 an 1 mois
DIVERS;ARETHA & OTIS;WEA/WARNER MUSIC France;Albums;Or;;03/06/2006;36 ans 11 mois
FRANCK MICHAEL;POUR TOUJOURS;UP MUSIC/WARNER MUSIC France;Albums;Or;;03/06/2006;36 ans 11 mois
WOLFGANG AMADEUS MOZART;L'INTEGRALE DE L';BRILLIANT CLASSICS/ABEILLE MUSIQUE;Albums;Or;;01/06/2006;36 ans 11 mois
AMINE;AU DELA DES REVES;ARTOP RECORDS/EMI MUSIC France;Albums;Or;01/12/2005;18/05/2006;5 mois
SNIPER;TRAIT POUR TRAIT;UP MUSIC/WARNER MUSIC France;Albums;Platine;;09/05/2006;36 ans 10 mois
GNARLS BARKLEY;ST. ELSEWHERE;WEA/WARNER MUSIC France;Albums;Or;04/02/2006;09/05/2006;3 mois
VERONIQUE SANSON;PREMIUM TOUPARGEL;WARNER/WARNER MUSIC France;Albums;Or;;09/05/2006;36 ans 10 mois
SNIPER;GRAVE DANS LA ROCHE;UP MUSIC/WARNER MUSIC France;Albums;Double Platine;;09/05/2006;36 ans 10 mois
MICHEL BERGER;PREMIUM TOUPARGEL;WARNER/WARNER MUSIC France;Albums;Or;;09/05/2006;36 ans 10 mois
SINIK;SANG FROID;UP MUSIC/WARNER MUSIC France;Albums;Platine;03/03/2006;09/05/2006;2 mois
LYNDA LEMAY;LES LETTRES ROUGES;WARNER/WARNER MUSIC France;Albums;Double Platine;;09/05/2006;36 ans 10 mois
France GALL;PREMIUM TOUPARGEL;WARNER/WARNER MUSIC France;Albums;Or;;09/05/2006;36 ans 10 mois
ANAIS;THE CHEAP SHOW;V2 MUSIC France/WARNER MUSIC France;Albums;Platine;25/09/2005;09/05/2006;7 mois
COMPILATION;RAP & RnB NON STOP 2006;WEA/WARNER MUSIC France;Albums;Or;02/06/2006;09/05/2006;
L'SKADRILLE;NOS VIES;UP MUSIC/WARNER MUSIC France;Albums;Or;26/01/2006;09/05/2006;3 mois
SINIK;LA MAIN SUR LE C;UP MUSIC/WARNER MUSIC France;Albums;Platine;;09/05/2006;36 ans 10 mois
SNIPER;DU RIRE AUX LARMES;UP MUSIC/WARNER MUSIC France;Albums;Platine;;09/05/2006;36 ans 10 mois
ENYA;AMARANTINE;WEA/WARNER MUSIC France;Albums;Platine;;09/05/2006;36 ans 10 mois
MADONNA;CONFESSIONS ON A DANCE FLOOR;WEA/WARNER MUSIC France;Albums;Diamant;;09/05/2006;36 ans 10 mois
SIMPLE PLAN;STILL NOT GETTING ANY;WEA/WARNER MUSIC France;Albums;Or;09/11/2005;09/05/2006;6 mois
MIGUEL ANGEL MUNOZ;MAM;M6 INTERACTIONS/SONY BMG;Albums;Or;08/04/2006;10/02/2006;1 mois
CELINE DION;ON NE CHANGE PAS;COLUMBIA/SONY BMG;Albums;Triple Platine;09/03/2005;10/02/2006;11 mois
MULTI INTERPRETES;RAP & RnB FEVER;COLUMBIA/SONY & BMG MUSIC;Albums;Or;;10/02/2006;36 ans 7 mois
COMPILATION;PLANETE RAP 2006;STRATEGIC MARKETING/SONY BMG;Albums;Or;;10/02/2006;36 ans 7 mois
JEAN-PIERRE DANEL;GUITAR CONNECTION;STRATEGIC MARKETING/SONY BMG;Albums;Or;;10/02/2006;36 ans 7 mois
CHRISTOPHE WILLEM;SUNNY;VOGUE/SONY BMG;Singles;Or;06/10/2006;10/02/2006;7 mois
COMPILATION;THE VERY BEST OF CLIFF&TOSH;STRATEGIC MARKETING/SONY BMG;Albums;Or;;10/02/2006;36 ans 7 mois
PIERRE BACHELET;LE MEILLEUR DE;STRATEGIC MARKETING/SONY BMG;Albums;Triple Platine;;10/02/2006;36 ans 7 mois
MYRIAM ABEL;LA VIE DEVANT TOI;RCA/SONY & BMG MUSIC;Albums;Or;;10/02/2006;36 ans 7 mois
MOZART;SES 100 CHEFS D';EMI RECORDS LTD/EMI MUSIC France;Albums;Or;11/02/2005;02/02/2006;11 mois
ILONA MITRECEY;DANS MA FUSEE;SONY BMG/SCORPIO HOT TRACKS;Singles;Or;16/10/2005;30/12/2005;2 mois
AMEL BENT;NE RETIENS PAS TES LARMES;SONY BMG/JIVEPIC;Singles;Or;23/10/2005;30/12/2005;2 mois
CELINE DION;JE NE VOUS OUBLIE PAS;SONY BMG/COLUMBIA;Singles;Or;16/10/2005;30/12/2005;2 mois
ILONA MITRECEY;NO;SONY BMG/SCORPIO HOT TRACKS;Singles;Or;04/12/2005;30/12/2005;
PAPA AP;ENTRE TU Y YO;EMI MUSIC FRANCE/EMOTION THREE MUSIC;Singles;Or;22/09/2005;30/12/2005;3 mois
PINOCCHIO;PINOCCHIO EN HIVER;EMI MUSIC FRANCE/LAVISTA;Singles;Or;13/10/2005;30/12/2005;2 mois
PINOCCHIO & MARILOU;PETIT PAPA NO;EMI MUSIC FRANCE/LAVISTA;Singles;Or;03/11/2005;30/12/2005;1 mois
ROBBIE WILLIAMS;TRIPPING;EMI MUSIC FRANCE/ROBBIE WILLIAMS IN GOOD COMPANY;Singles;Or;29/09/2005;30/12/2005;3 mois
TINA ARENA;AIMER JUSQU';SONY BMG/COLUMBIA;Singles;Or;13/11/2005;30/12/2005;1 mois
PINOCCHIO;MON ALBUM;EMI MUSIC France/LAVISTA;Albums;Or;09/11/2005;30/12/2005;1 mois
FLORENT PAGNY;BARYTON;UNIVERSAL MUSIC/MERCURY;Albums;Double Platine;07/11/2004;13/12/2005;1 an 1 mois
CALOGERO;LIVE 1.0;UNIVERSAL MUSIC/RAPAS;Albums;Or;21/08/2005;13/12/2005;3 mois
CECILIA BARTOLI;OPERA PROIBITA;UNIVERSAL MUSIC/DECCA;Albums;Or;11/09/2005;13/12/2005;3 mois
PHIL COLLINS;FINALLY THE FAIRWELL TOUR;WARNER VISION France;Vidéos;Triple Platine;01/11/2004;13/12/2005;1 an 1 mois
U2;VERTIGO;UNIVERSAL MUSIC/ISLAND /AZ;Vidéos;Diamant;13/11/2005;13/12/2005;1 mois
ADMIRAL T;MOZA;UNIVERSAL MUSIC/AZ;Albums;Or;06/09/2004;13/12/2005;1 an 3 mois
EROS RAMAZOTTI;CALMA APPARENTE;SONY BMG/RCA ARISTA;Albums;Or;30/10/2005;13/12/2005;1 mois
FRANCIS CABREL;LA TOURNEE DES BODEGAS;SONY BMG/COLUMBIA;Albums;Or;20/11/2005;13/12/2005;
IL DIVO;ANCORA;SONY BMG/RCA ARISTA;Albums;Or;06/11/2005;13/12/2005;1 mois
JEAN-LOUIS AUBERT;IDEAL STANDART;EMI MUSIC France/LA LOUPE;Albums;Or;09/11/2005;13/12/2005;1 mois
SERGE LAMA;BERCY 2003;WARNER VISION France;Vidéos;Platine;06/12/2004;30/11/2005;11 mois
THE EAGLES;FAIRWELL TOUR PART 1;WARNER VISION France;Vidéos;Platine;27/06/2005;30/11/2005;5 mois
VERONIQUE SANSON;OLYMPIA 2005;WARNER VISION France;Vidéos;Platine;23/10/2005;30/11/2005;1 mois
BENASSI BROS;...PHOBIA;UNIVERSAL MUSIC/AIRPLAY / ULM;Albums;Or;13/03/2005;30/11/2005;8 mois
MICHEL SARDOU;LIVE;UNIVERSAL MUSIC/TREMA / AZ;Vidéos;Triple Platine;16/10/2005;30/11/2005;1 mois
COMPILATION;HITS 2005 SEPCIAL ETE;UNIVERSAL MUSIC/ULM TV MARKET;Albums;Or;26/06/2005;30/11/2005;5 mois
CRAZY FROG;CRAZY HITS;UNIVERSAL MUSIC/ULM;Albums;Or;21/08/2005;30/11/2005;3 mois
LORD KOSSITY;BOOMING SYSTEM;UNIVERSAL MUSIC/ULM;Albums;Or;26/06/2005;30/11/2005;5 mois
M POKORA;SHOWBIZ;UNIVERSAL MUSIC/ULM / M6 INTERACTION;Albums;Or;01/11/2004;30/11/2005;1 an 1 mois
CRAZY FROG;POPCORN;UNIVERSAL MUSIC/ULM;Singles;Diamant;18/09/2005;30/11/2005;2 mois
CRAZY FROG;AXEL F;UNIVERSAL MUSIC/ULM;Singles;Diamant;22/05/2005;30/11/2005;6 mois
LES ENFOIRES;LA COMPIL VOL.3;SONY BMG/RESTOS DU C?UR;Albums;Platine;24/11/2005;30/11/2005;
LORIE;RESTER LA M;SONY BMG/VOGUE;Albums;Platine;30/10/2005;30/11/2005;1 mois
MULTI INTERPRETES;SOLIDARITE ASIE;UNIVERSAL MUSIC/ULM TV MARKET;Albums;Platine;16/01/2005;30/11/2005;10 mois
ROBBIE WILLIAMS;INTENSIVE CARE;EMI MUSIC France/Robbie Williams/In good company;Albums;Platine;19/10/2005;30/11/2005;1 mois
ROBERTO ALAGNA;ROBERTO ALAGNA CHANTE LOUIS MARIANO;UNIVERSAL MUSIC/DEUTSCH GRAMMOPHON;Albums;Platine;23/10/2005;30/11/2005;1 mois
TIKEN JAH FAKOLY;FRANCAFRIQUE;UNIVERSAL MUSIC/BARCLAY;Albums;Or;18/02/2002;08/11/2005;3 ans 9 mois
TIKEN JAH FAKOLY;COUP DE GUEULE;UNIVERSAL MUSIC/BARCLAY;Albums;Or;03/10/2004;08/11/2005;1 an 1 mois
AMEL BENT;UN JOUR D'ETE;SONY BMG/JIVEPIC;Albums;Platine;29/11/2004;08/11/2005;11 mois
GOTAN PROJECT;LA REVANCHA DEL TANGO;UNIVERSAL MUSIC/YA BASTA;Albums;Platine;22/10/2001;08/11/2005;4 ans 1 mois
DALIDA;LES ANNEES BARCLAY;UNIVERSAL MUSIC/BARCLAY/ORLANDO;Albums;Or;24/11/1991;26/10/2005;14 ans 1 mois
I AM;L'ECOLE DU MICRO D'ARGENT;EMI MUSIC France;Albums;Diamant;17/03/1997;19/10/2005;8 ans 8 mois
ALICIA KEYS;MTV UNPLUGGED;SONY BMG/JIVEPIC;Vidéos;Or;09/10/2005;19/10/2005;
CHRIS KUNNINGHAM;THE WORK OF DIRECTORS CHRIS KUNNINGHAM;EMI MUSIC France/LABELS;Vidéos;Or;30/11/2003;19/10/2005;1 an 10 mois
COMPILATION;LIVE 8 INTERNATIONAL;EMI MUSIC France/EMI RECORDS LTD;Vidéos;Or;03/11/2005;19/10/2005;
CREAM;ROYAL ALBERT LONDON MAY 2-3-5-6;WARNER VISION France;Vidéos;Or;03/10/2005;19/10/2005;
DEEP PURPLE;LIVE IN CONCERT 72-73;EMI MUSIC France/DEEP PURPLE LTD;Vidéos;Or;24/07/2005;19/10/2005;2 mois
HELENE SEGARA;REGARDS;WARNER VISION France/WARNER / ORLANDO;Vidéos;Or;23/05/2005;19/10/2005;4 mois
MARIA CALLAS;UNE VIE D'ART ET 'AMOUR;EMI MUSIC France/LA VOIX DE SON MAITRE / EMI MUSIC France;Vidéos;Or;07/11/2004;19/10/2005;11 mois
QUEEN;RETURN OF THE CHAMPIONS;EMI MUSIC France/EMI RECORDS LTD;Vidéos;Or;03/11/2005;19/10/2005;
KOOL SHEN;LIVE;SONY BMG/FOUR MY PEOPLE;Vidéos;Or;21/08/2005;12/10/2005;1 mois
THE OFFSPRING;COMPLETE MUSIC VIDEO COLLECTION;SONY BMG/COLUMBIA;Vidéos;Or;17/07/2005;12/10/2005;2 mois
DIDO;DIDO LIVE AT BRIXTON ACADEMY;SONY BMG/ARISTA INTERNATIONAL;Vidéos;Platine;12/06/2005;12/10/2005;4 mois
JOE DASSIN;OLYMPIA 77;SONY BMG/SONY BMG VIDEO;Vidéos;Platine;15/08/2005;12/10/2005;1 mois
MARILOU;TU ES COMME CA;SONY BMG/COLUMBIA;Singles;Or;19/06/2005;12/10/2005;3 mois
YANNICK NOAH;METIS;SONY BMG/ST GEORGE;Singles;Or;12/06/2005;12/10/2005;4 mois
AC/DC;FAMILY JEWELS;SONY BMG/SONY BMG VIDEO;Vidéos;Double Platine;28/03/2005;12/10/2005;6 mois
LAAM;PETITE S?UR;SONY BMG/RCA France;Singles;Or;15/08/2005;12/10/2005;1 mois
MISTER COSMIC VS FAT DOG;SPACE SOAP (LA SOUPE AUX CHOUX);SONY BMG/3 E MEDIA;Singles;Or;26/06/2005;12/10/2005;3 mois
MICHAEL JACKSON;LIVE IN BUCHAREST THE DANGER;SONY BMG/SONY BMG VIDEO;Vidéos;Triple Platine;24/07/2005;12/10/2005;2 mois
FREDERIC FRANCOIS;ET SI ON PARLAIT D'AMOUR;SONY BMG/SONY BMG MEDIA;Albums;Or;17/04/2005;12/10/2005;5 mois
VICTORIA ABRIL;PUTCHEROS DE BRASIL;SONY BMG/RCA;Albums;Or;09/05/2005;12/10/2005;5 mois
JOE DASSIN;ETERNEL (BEST OF 25;SONY BMG/SONY BMG MEDIA;Albums;Or;15/08/2005;12/10/2005;1 mois
JULIO IGLESIAS;L'HOMME QUE JE SUIS;SONY BMG/COLUMBIA;Albums;Or;15/05/2005;12/10/2005;5 mois
LORIE;BEST OF;SONY BMG/EPIC GROUP;Albums;Or;03/04/2005;12/10/2005;6 mois
MULTI INTERPRETES;GRAAL;SONY BMG/SONY BMG MEDIA;Albums;Or;10/01/2005;12/10/2005;9 mois
SHAKIRA;FIJACION ORAL;SONY BMG/EPIC;Albums;Or;19/06/2005;12/10/2005;3 mois
THE OFFSPRING;GREATEST HITS;SONY BMG/COLUMBI;Albums;Or;26/06/2005;12/10/2005;3 mois
TRYO;DE BOUCHES A OREILLES?;SONY BMG/YELEN MUSIQUES;Albums;Or;06/03/2005;12/10/2005;7 mois
DEZIL;SAN OU (LA RIVIERE);SONY BMG/SONY BMG MEDIA;Singles;Diamant;26/06/2005;12/10/2005;3 mois
LESLIE;MES COULEURS;SONY BMG/M6 INTERACTIONS;Albums;Double or;10/05/2004;12/10/2005;1 an 5 mois
MICHAEL JACKSON;THE ESSENTIAL;SONY BMG MEDIA;Albums;Double or;24/07/2005;12/10/2005;2 mois
CELINE DION;ON NE CHANGE PAS;SONY BMG/COLUMBIA;Albums;Platine;02/10/2005;12/10/2005;
SINSEMILIA;DEBOUT LES YEUX OUVERTS;SONY BMG/EPIC;Albums;Platine;03/10/2004;12/10/2005;1 an
FRANK MICHAEL;LA FORCE DES FEMMES;WARNER MUSIC FRANCE;Albums;Double or;15/11/2004;28/09/2005;10 mois
HELENE SEGARA;HUMAINE;WARNER MUSIC France/ORLANDO/B.G.PROD/WARNER;Albums;Double Platine;09/03/2003;27/09/2005;2 ans 7 mois
MADONNA;IMMACULATE COLLECTION;WARNER MUSIC France/WEA;Albums;Diamant;11/11/1990;27/09/2005;15 ans 1 mois
DANIEL POWTER;BAD DAY;WARNER MUSIC France/WEA;Singles;Or;21/03/2005;27/09/2005;6 mois
EMMANUEL MOIRE;JE FAIS DE TOI MON ESSENTIEL;WARNER MUSIC France/WARNER;Singles;Or;25/04/2005;27/09/2005;5 mois
EMMANUEL MOIRE;ETRE A LA HAUTEUR;WARNER MUSIC France/WARNER;Singles;Or;28/11/2004;27/09/2005;10 mois
THE KILLERS;HOT FUSS;UNIVERSAL MUSIC/MERCURY;Albums;Or;19/12/2004;06/09/2005;8 mois
GREGORY LEMARCHAL;ECRIS L'HISTOIRE;UNIVERSAL MUSIC/MERCURY;Singles;Platine;28/03/2005;06/09/2005;5 mois
GREGORY LEMARCHAL;JE DEVIENS MOI;UNIVERSAL MUSIC/MERCURY;Albums;Double or;01/05/2005;06/09/2005;4 mois
FEIST;LET IT DIE;UNIVERSAL MUSIC/POLYDOR;Albums;Or;01/03/2004;30/08/2005;1 an 6 mois
MADELEINE PEYROUX;CARELESS LOVE;UNIVERSAL MUSIC/ROUNDER;Albums;Or;10/10/2004;30/08/2005;10 mois
PIERRICK LILLIU;A C?UR OUVERT;SONY BMG/RCA;Singles;Or;29/05/2005;11/07/2005;1 mois
BLACK EYED PEAS;MONKEY BUSINESS;UNIVERSAL MUSIC/INTERSCOPE;Albums;Or;29/05/2005;11/07/2005;1 mois
GWEN STEFANI;LOVE ANGEL MUSIC BABY;UNIVERSAL MUSIC/INTERSCOPE;Albums;Or;21/11/2004;11/07/2005;7 mois
BENABAR;LIVE AU GRAND REX;SONY BMG/JIVE/ZOMBA;Vidéos;Platine;18/10/2004;28/06/2005;8 mois
AMEL BENT;LE DROIT A L'ERREUR;SONY BMG/JIVE/ZOMBA;Singles;Or;24/04/2005;28/06/2005;2 mois
BRITNEY SPEARS;TOXIC;SONY BMG/JIVE/ZOMBA;Singles;Or;12/06/2004;28/06/2005;1 an
BRITNEY SPEARS;EVERYTIME;SONY BMG/JIVE/ZOMBA;Singles;Or;13/09/2004;28/06/2005;9 mois
MARIO;LET ME LOVE YOU;SONY BMG/J RECORDS/ZOMBA;Singles;Or;20/03/2005;28/06/2005;3 mois
PRISCILLA;TOUJOURS PAS D'AMOUR;SONY BMG/JIVE/ZOMBA;Singles;Or;02/02/2004;28/06/2005;1 an 5 mois
