artist_snep,lastfm_name,mbid,listeners,playcount,tags,lastfm_url
ALPHONSE BROWN,Alphonse Brown,2848f74c-0c61-4ce0-acf2-863c4dff6b71,4613.0,18441.0,humour|Soundtrack|folklore intellectuel,https://www.last.fm/music/Alphonse+Brown
ALVARO SOLER,Alvaro Soler,,381161.0,6519229.0,pop|latin|spain|spanish|latin pop,https://www.last.fm/music/Alvaro+Soler
AMAARAE,Amaarae,29fab96f-c3a2-4251-80f6-7ccda50da706,1022433.0,34208872.0,rnb|afrobeats|ghana|alternative rnb|pop,https://www.last.fm/music/Amaarae
AMANDA LEAR,Amanda Lear,2f2608ed-ff2b-400e-b614-8c648bfaae7b,148378.0,1589343.0,Disco|pop|female vocalists|70s|dance,https://www.last.fm/music/Amanda+Lear
AMARA ABONTA,Amara Abonta,bcdd8ade-2f5e-48fb-a74e-50f13286a556,4.0,5.0,,https://www.last.fm/music/Amara+Abonta
AMAURI VASSILI,Amaury Vassili,289f0af9-f4b9-4ece-a36a-632b4c1747b3,13179.0,205661.0,Classical|french|opera|classical crossover|tenor,https://www.last.fm/music/Amaury+Vassili
AMAURY VASSILI,Amaury Vassili,289f0af9-f4b9-4ece-a36a-632b4c1747b3,13179.0,205661.0,Classical|french|opera|classical crossover|tenor,https://www.last.fm/music/Amaury+Vassili
AMEL BENT,Amel Bent,b40f0299-fa59-41fb-80bb-cbc091c5452f,138293.0,1764085.0,french|pop|female vocalists|french pop|francais,https://www.last.fm/music/Amel+Bent
AMERICA,America,34cf95c7-4be9-4efd-a48a-c2ea4a0bb114,2202656.0,41973871.0,classic rock|rock|70s|soft rock|folk,https://www.last.fm/music/America
AMINE,Amine,f0d574e0-638c-463a-92dd-33aa9339cffb,30177.0,259447.0,rnb|french|Hip-Hop|arabic|maroc,https://www.last.fm/music/Amine
AMINÉ,Aminé,12398bf3-1b99-47b7-930c-f3956773f35a,1492261.0,63556874.0,rap|Hip-Hop|trap|hip hop|american,https://www.last.fm/music/Amin%C3%A9
