annee_sortie,mois_sortie,log_jours_obtention,n_artistes,is_collab,artist_total_certs,artist_max_cert_level,artist_collab_rate,label_freq,cert_level,cat_Singles,cat_Albums,cat_Videos,cat_Compilation
2018,8,7.912056888179006,1,0,6,2,0.16666666666666666,0.0001246416552411816,0,1,0,0,0
2024,6,6.411818267709897,2,1,38,5,0.34210526315789475,0.0016203415181353608,5,1,0,0,0
2017,6,8.061802274538348,1,0,3,2,0.0,0.02492833104823632,2,0,1,0,0
2023,8,6.805722553416985,1,0,5,5,0.0,0.008724915866882713,2,0,1,0,0
2024,11,6.12029741895095,1,0,9,5,0.0,0.003988532967717812,2,0,1,0,0
2025,5,5.6131281063880705,1,0,3,5,0.0,0.0002492833104823632,2,0,1,0,0
2017,3,8.092239406724211,1,0,22,6,0.13636363636363635,0.0004985666209647265,6,0,1,0,0
2021,8,7.397561535524052,2,1,45,5,0.2222222222222222,0.01171631559267107,2,1,0,0,0
2022,6,7.203405521083095,1,0,4,2,0.0,0.0004985666209647265,2,1,0,0,0
2024,12,6.0063531596017325,1,0,1,2,0.0,0.0017449831733765424,2,1,0,0,0
2025,9,4.990432586778736,2,1,7,2,0.5714285714285714,0.01246416552411816,2,1,0,0,0
2025,9,4.941642422609304,2,1,2,2,0.5,0.0002492833104823632,2,1,0,0,0
2020,3,7.669495251007694,1,0,3,5,0.0,0.0013710582076529975,5,1,0,0,0
2022,4,7.2485040723706105,1,0,5,5,0.0,0.0003739249657235448,5,1,0,0,0
2024,5,6.467698726104354,1,0,1,5,0.0,0.005982799451576717,5,1,0,0,0
2016,3,8.19229373114764,1,0,10,5,0.0,0.0004985666209647265,5,1,0,0,0
2018,1,7.983781068977451,1,0,15,5,0.26666666666666666,0.01171631559267107,3,0,1,0,0
2024,11,6.104793232414985,1,0,14,5,0.0,0.0017449831733765424,3,0,1,0,0
2018,2,7.978996370854115,1,0,10,5,0.3,0.005110307864888446,2,0,1,0,0
2017,6,8.058960017769417,1,0,4,5,0.0,0.0004985666209647265,0,0,1,0,0
2017,11,8.012018239159062,1,0,3,0,0.0,0.0023681914495824507,0,0,1,0,0
2021,11,7.3395376954076745,1,0,33,6,0.2727272727272727,0.0007478499314470896,6,0,1,0,0
2024,11,6.135564891081739,1,0,5,5,0.4,0.0004985666209647265,4,0,1,0,0
2018,12,7.870165946469845,2,1,112,5,0.125,0.010345257385018073,0,1,0,0,0
2018,11,7.878155336503324,1,0,33,6,0.2727272727272727,0.0007478499314470896,0,1,0,0,0
2021,1,7.51425465281641,1,0,1,0,0.0,0.035398230088495575,0,1,0,0,0
2021,9,7.389563953677635,2,1,8,4,0.125,0.0036146080019942664,0,1,0,0,0
